
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-05 21:06:42 ........................................................................................... ~ 0s
  2026-05-05 21:06:42 ........................................................................................... ~ 0s
  2026-05-05 21:06:42 ........................................................................................... ~ 0s
  2026-05-05 21:06:42 ........................................................................................... ~ 0s
  2026-05-05 21:06:42 ........................................................................................... ~ 1s
  2026-05-05 21:06:42 ........................................................................................... ~ 1s
  2026-05-05 21:06:43 ........................................................................................... ~ 0s
  2026-05-05 21:06:43 ........................................................................................... ~ 0s
  2026-05-05 21:06:43 ........................................................................................... ~ 0s
  2026-05-05 21:06:43 ........................................................................................... ~ 0s
  2026-05-05 21:06:43 ........................................................................................... ~ 0s
  2026-05-05 21:06:43 ........................................................................................... ~ 1s
  2026-05-05 21:06:44 ........................................................................................... ~ 0s
  2026-05-05 21:06:44 ........................................................................................... ~ 0s
  2026-05-05 21:06:44 ........................................................................................... ~ 0s
  2026-05-05 21:06:44 ........................................................................................... ~ 0s
  2026-05-05 21:06:44 ........................................................................................... ~ 0s
  2026-05-05 21:06:44 ........................................................................................... ~ 0s
  2026-05-05 21:06:44 ........................................................................................... ~ 1s
  2026-05-05 21:06:45 ........................................................................................... ~ 0s
  2026-05-05 21:06:45 ........................................................................................... ~ 0s
  2026-05-05 21:06:45 ........................................................................................... ~ 0s
  2026-05-05 21:06:45 ........................................................................................... ~ 0s
  2026-05-05 21:06:45 ........................................................................................... ~ 0s
  2026-05-05 21:06:45 ........................................................................................... ~ 0s
  2026-05-05 21:06:45 ........................................................................................... ~ 0s
  2026-05-05 21:06:45 ........................................................................................... ~ 1s
  2026-05-05 21:06:46 ........................................................................................... ~ 0s
  2026-05-05 21:06:46 ........................................................................................... ~ 0s
  2026-05-05 21:06:46 ........................................................................................... ~ 0s
  2026-05-05 21:06:46 ........................................................................................... ~ 1s
  2026-05-05 21:06:47 ........................................................................................... ~ 0s
  2026-05-05 21:06:47 ........................................................................................... ~ 0s
  2026-05-05 21:06:47 ........................................................................................... ~ 0s
  2026-05-05 21:06:47 ........................................................................................... ~ 0s
  2026-05-05 21:06:47 ........................................................................................... ~ 0s
  2026-05-05 21:06:47 ........................................................................................... ~ 1s
  2026-05-05 21:06:48 ........................................................................................... ~ 0s
  2026-05-05 21:06:48 ........................................................................................... ~ 0s
  2026-05-05 21:06:48 ........................................................................................... ~ 0s
  2026-05-05 21:06:48 ........................................................................................... ~ 0s
  2026-05-05 21:06:48 ........................................................................................... ~ 0s
  2026-05-05 21:06:48 ........................................................................................... ~ 0s
  2026-05-05 21:06:48 ........................................................................................... ~ 1s
  2026-05-05 21:06:48 ........................................................................................... ~ 1s
