kode_kecamatan,kecamatan,adm4
district_code,district_name,11.01.01.1001
110101,Bakongan,11.01.01.1002
110102,Kluet Utara,11.01.01.1003
110103,Kluet Selatan,11.01.01.1004
110104,Labuhan Haji,11.01.01.1005
110105,Meukek,11.01.01.1006
110106,Samadua (Sama Dua),11.01.01.1007
110107,Sawang,11.01.01.1008
110108,Tapaktuan (Tapak Tuan),11.01.01.1009
110109,Trumon,11.01.01.1010
110110,Pasi Raja (Pasie Raja),11.01.01.1011
110111,Labuhan Haji Timur,11.01.01.1012
110112,Labuhan Haji Barat,11.01.01.1013
110113,Kluet Tengah,11.01.01.1014
110114,Kluet Timur,11.01.01.1015
110115,Bakongan Timur,11.01.01.1016
110116,Trumon Timur,11.01.01.1017
110117,Kota Bahagia,11.01.01.1018
110118,Trumon Tengah,11.01.01.1019
110201,Lawe Alas,11.01.01.1020
110202,Lawe Sigala Gala,11.01.01.1021
110203,Bambel,11.01.01.1022
110204,Babussalam,11.01.01.1023
110205,Badar,11.01.01.1024
110206,Babul Makmur,11.01.01.1025
110207,Darul Hasanah,11.01.01.1026
110208,Lawe Bulan,11.01.01.1027
110209,Bukit Tusam,11.01.01.1028
110210,Semadam,11.01.01.1029
110211,Babul Rahmah,11.01.01.1030
110212,Ketambe,11.01.01.1031
110213,Deleng Pokhkisen (Deleng Pokhisen),11.01.01.1032
110214,Lawe Sumur,11.01.01.1033
110215,Tanoh Alas (Tanah Alas),11.01.01.1034
110216,Leuser,11.01.01.1035
110301,Darul Aman,11.01.01.1036
110302,Julok,11.01.01.1037
110303,Idi Rayeuk,11.01.01.1038
110304,Birem Bayeun,11.01.01.1039
110305,Serbajadi,11.01.01.1040
110306,Nurussalam,11.01.01.1041
110307,Peureulak,11.01.01.1042
110308,Rantau Selamat,11.01.01.1043
110309,Simpang Ulim,11.01.01.1044
110310,Rantau Peureulak (Ranto Peureulak),11.01.01.1045
110311,Pante Bidari,11.01.01.1046
110312,Madat,11.01.01.1047
110313,Indra Makmu (Indra Makmur),11.01.01.1048
110314,Idi Tunong,11.01.01.1049
110315,Banda Alam,11.01.01.1050
110316,Peudawa,11.01.01.1051
110317,Peureulak Timur,11.01.01.1052
110318,Peureulak Barat,11.01.01.1053
110319,Sungai Raya,11.01.01.1054
110320,Simpang Jernih,11.01.01.1055
110321,Darul Ihsan (Iksan),11.01.01.1056
110322,Darul Falah,11.01.01.1057
110323,Idi Timur,11.01.01.1058
110324,Peunaron,11.01.01.1059
110401,Linge,11.01.01.1060
110402,Silih Nara,11.01.01.1061
110403,Bebesen,11.01.01.1062
110407,Pegasing,11.01.01.1063
110408,Bintang,11.01.01.1064
110410,Ketol,11.01.01.1065
110411,Kebayakan,11.01.01.1066
110412,Kute Panang,11.01.01.1067
110413,Celala,11.01.01.1068
110417,Laut Tawar (Lut Tawar),11.01.01.1069
110418,Atu Lintang,11.01.01.1070
110419,Jagong Jeget,11.01.01.1071
110420,Bies,11.01.01.1072
110421,Rusip Antara,11.01.01.1073
110501,Johan Pahwalan (Johan Pahlawan),11.01.01.1074
110502,Kaway XVI,11.01.01.1075
110503,Sungai Mas,11.01.01.1076
110504,Woyla,11.01.01.1077
110505,Samatiga,11.01.01.1078
110506,Bubon,11.01.01.1079
110507,Arongan Lambalek,11.01.01.1080
110508,Pante Ceureumen (Pantai Ceuremen),11.01.01.1081
110509,Meureubo,11.01.01.1082
110510,Woyla Barat,11.01.01.1083
110511,Woyla Timur,11.01.01.1084
110512,Panton Reu,11.01.01.1085
110601,Lhoong,11.01.01.1086
110602,Lhoknga (Lho'nga),11.01.01.1087
110603,Indrapuri,11.01.01.1088
110604,Seulimeum,11.01.01.1089
110605,Montasik (Mantasiek),11.01.01.1090
110606,Sukamakmur (Suka Makmur),11.01.01.1091
110607,Darul Imarah,11.01.01.1092
110608,Peukan Bada,11.01.01.1093
110609,Mesjid Raya,11.01.01.1094
110610,Ingin Jaya,11.01.01.1095
110611,Kuta Baro,11.01.01.1096
110612,Darussalam,11.01.01.1097
110613,Pulo Aceh,11.01.01.1098
110614,Lembah Seulawah,11.01.01.1099
110615,Kota Jantho,11.01.01.1100
110616,Kuta Cot Glie (Kota Cot Glie),11.01.01.1101
110617,Kuta Malaka (Kota Malaka),11.01.01.1102
110618,Simpang Tiga,11.01.01.1103
110619,Darul Kamal,11.01.01.1104
110620,Baitussalam,11.01.01.1105
